"Reference","Value","Qty","P/N"
"C1,C2,C9,C19,C26","1uF","5","MLASU168SB5105KTNA01"
"C3,C8,C10,C18,C20,C23,C29,C34,C35","10uF","9","GRM21BR61H106KE43K"
"C4,C7,C11,C12,C14,C15,C16,C17,C24,C25,C27,C28,C31,C33,C36","0.1uF,100nF","15","MLASH168SB7104KTNA01"
"C5","10nF","1","MSASH168SB5103KTNA01"
"C6","3.3nF","1","06035C332K4T2A"
"C13,C30,C32","4.7uF","3","08055D475KAT4A"
"C21,C22","12p","2","06035U120FAT2A"
"CR1,CR2","D5V0P4UR6SO-7","2","D5V0P4UR6SO-7"
"D1","MBR230S1F","1","SS24FL"
"D2","TVS","1","SD24C-01FTG"
"D3,D9","CFLT,PFLT","2","NCD0603R1"
"D4,D7,D8,D11,D12,D13,D14","24V,3V3,BUCK,Heartbeat,LED0,LED1,LED2","7","XL-1608UBC-06A"
"D5","1N5819HW","1","1N5819HW-7-F "
"D6","SP0503BAHTG","1","SP0503BAHTG"
"D10","TVS","1","SMF3.3"
"FB1,FB4","FerriteBead","2","BLM18PG121SH1D"
"J1","SWD","1","1053091104"
"J2","USB4215-03-A","1","USB4215-03-A "
"J4","52465-2470","1","52465-2470"
"JP1","TRM","1","QPC02SXGN-RC "
"L1","100uH","1","MSS1246-104MLC "
"R1,R4,R9,R10,R23,R27,R29,R33","10k","8","CRCW060310K0FKEI "
"R3","16k","1","CRCW060316K0FKTA "
"R5,R6,R7,R11,R17,R18,R26","120","7","CRCW0603120RFKEC "
"R8","332","1","CRCW0603332RFKEAHP "
"R12","45.3k","1","CRCW060345K3FKEAHP "
"R13","590","1","CRCW0603590RFKEA"
"R14,R16","5.1k","2","CRCW06035K10FKEC "
"R15","2.1k","1","CRCW06032K10FKEA "
"R20","402k","1","CRCW0603402KFKEAC "
"R21","1k","1","CRCW06031K00FKEI "
"R22","22k","1","CRCW060322K1FKEBC "
"R24","47k","1","CRCW060347K5FKEAHP "
"R25,R28","4.3k","2","CRCW06034K30FKTA "
"R30","19k","1","CRCW060320K0FKEA"
"R31","100k","1","CRCW0603100KFKEE "
"R32","768","1","CRCW0603768RFKEA"
"SW1","RST","1","TL3365AF180QG"
"SW2","BOOT","1","CJS-1200TA "
"U1","STM32L431CBTx","1","STM32L431CBT6"
"U2","TPS5405DR","1","TPS5405DR"
"U3","LT1963AEST-3.3#TRPBF","1","LT1963AEST-3.3#TRPBF "
"U4","TCAN337","1","TCAN337DCNR"
"U5","CDSOT23-T24CAN","1","CDSOT23-T24CAN"
"U6","TPS2115ADRBR","1","TPS2115ADRBR"
"U7","LM76202QPWPRQ1","1","LM76202QPWPRQ1"
"U8","CP2102N-A02-GQFN24","1","CP2102N-A02-GQFN24"
"U9","74AHC1G32","1","SN74AHC1G32TDBVRQ1"
"Y1","8M","1","ABM3-8.000MHZ-D2Y-T"
